,Away Attack,Away Defense,Home Attack,Home Defense
Arsenal,1.7540170495160397,1.2551967610904862,1.6054900167162862,0.6950467517998409
Bournemouth,1.0017744152073778,1.5507516386485172,1.4947420426321232,1.428549420651566
Burnley,0.6773748123980132,1.3495360784833184,1.0789198320285642,1.0500520340053183
Chelsea,1.495838799411627,0.6753811131943104,2.2877824259234414,0.9928177473734624
Crystal Palace,1.2123041364177254,1.5951064833689879,1.0584574736871597,1.182249011437334
Everton,0.8918265869206373,1.2025433553698903,1.8095880585050999,0.8593551761656866
Hull,0.40352213416408556,1.9230522981219453,1.2582161172228887,1.7630489127849664
Leicester,0.900908295751277,1.534715472746587,1.299367257481604,1.2863197940073106
Liverpool,1.4951382255282724,0.9794062361609329,1.716090865729789,0.8559749315040869
Man City,2.059399682398308,0.9174542571471493,1.5248723149950039,0.788714095703129
Man United,1.300921162555833,0.6414104232663776,1.0030590402466826,0.5404587510241695
Middlesbrough,0.3826207638896489,1.328187611103516,0.7225136219522152,1.0701827182753603
Southampton,1.189167610937974,1.0616657015815172,0.5965321829912825,0.9794664985073678
Stoke,0.7640586343599887,1.3116998154700719,0.9718398430192755,1.0947856965367853
Sunderland,0.6445451272022195,1.4356650274642426,0.5818839397323509,1.526953097026378
Swansea,0.8689908835593099,1.4507771051959832,1.14329371312614,1.4987450002008855
Tottenham,1.9410616037212434,0.7193008093301504,2.059493434345919,0.46044744722674213
Watford,0.6844956793604359,1.5789034923629668,0.9946347910168826,1.387674016305909
West Brom,0.7887892330012813,1.3355333072296345,1.0412766838448027,0.9791917507584235
West Ham,1.2907521367274417,1.339907101576773,0.7779236399953495,1.4517734810212637
